seed,fold,block,permutation,macro_f1_decrease,log_loss_increase
20260918,2,dipeptides,2,0.0,0.0
20260918,2,dipeptides,3,0.0,0.0
20260918,2,dipeptides,4,0.0,0.0
20260919,0,length,0,0.01914452074838191,0.06681149984633972
20260919,0,length,1,0.029592847292139846,0.05808429679912963
20260919,0,length,2,0.026314845235734796,0.08550735348065919
20260919,0,length,3,0.018891036958468832,0.06294311000147901
20260919,0,length,4,0.0008778264452670159,0.06255995566045858
20260919,0,global_composition_physics,0,0.22685770299535912,0.8705495204220862
20260919,0,global_composition_physics,1,0.23550111510326655,0.9406292280756811
20260919,0,global_composition_physics,2,0.23871611814255056,0.9968460489328123
20260919,0,global_composition_physics,3,0.22600709707984212,0.9870028456231769
20260919,0,global_composition_physics,4,0.23441783212667533,0.9343847745657469
20260919,0,n_terminal,0,0.16887751230834924,0.4998669274325501
20260919,0,n_terminal,1,0.1756032182149565,0.5008182478226514
20260919,0,n_terminal,2,0.15909489944204214,0.4293631335664755
20260919,0,n_terminal,3,0.17096019811204355,0.4437785646712632
20260919,0,n_terminal,4,0.15923331056027717,0.41680966991078916
20260919,0,c_terminal,0,0.01344929686189622,0.05782158001445381
20260919,0,c_terminal,1,-0.003690156392065491,0.04949769000107285
20260919,0,c_terminal,2,0.052333118374707555,0.06462684463318102
20260919,0,c_terminal,3,0.027594889169284542,0.05280825810141787
20260919,0,c_terminal,4,0.019456977664602415,0.04627799018509082
20260919,0,dipeptides,0,0.0,0.0
20260919,0,dipeptides,1,0.0,0.0
20260919,0,dipeptides,2,0.0,0.0
20260919,0,dipeptides,3,0.0,0.0
20260919,0,dipeptides,4,0.0,0.0
20260919,1,length,0,0.05048133682864664,0.04163061566604864
20260919,1,length,1,0.06992323917653887,0.05689294793228328
20260919,1,length,2,0.07348714222048292,0.04777266722355855
20260919,1,length,3,0.044597425019728076,0.039487573937400544
20260919,1,length,4,0.052326236301154405,0.04633577315707682
20260919,1,global_composition_physics,0,0.2990538919262935,0.5872724222605192
20260919,1,global_composition_physics,1,0.292894967091576,0.5463544317672109
20260919,1,global_composition_physics,2,0.33607049029478386,0.6216235015081222
20260919,1,global_composition_physics,3,0.31718362145492524,0.6012161176433763
20260919,1,global_composition_physics,4,0.3105579879310757,0.6128416269234283
20260919,1,n_terminal,0,0.14955870857338938,0.20152157208884414
20260919,1,n_terminal,1,0.180051475228595,0.21874622553353107
20260919,1,n_terminal,2,0.17483405089278686,0.222045529341659
20260919,1,n_terminal,3,0.14701131966857173,0.20854472688561843
20260919,1,n_terminal,4,0.17130013247421394,0.21931394091655587
20260919,1,c_terminal,0,0.034218004446495476,0.01812941725081063
20260919,1,c_terminal,1,0.012442961168535493,0.012007147465930568
20260919,1,c_terminal,2,0.018389592989017767,0.021984916721920822
20260919,1,c_terminal,3,0.018390115245819683,0.02274479446344224
20260919,1,c_terminal,4,0.012458327847392536,0.011119016003182436
20260919,1,dipeptides,0,0.0,0.0
20260919,1,dipeptides,1,0.0,0.0
20260919,1,dipeptides,2,0.0,0.0
20260919,1,dipeptides,3,0.0,0.0
20260919,1,dipeptides,4,0.0,0.0
20260919,2,length,0,0.025448271187769045,0.03626756893930794
20260919,2,length,1,0.03402234529609349,0.045659447294240874
20260919,2,length,2,0.023015542405805167,0.027190403074693004
20260919,2,length,3,0.03713452676542073,0.03811468971241094
20260919,2,length,4,0.04203067172103281,0.04607974046282526
20260919,2,global_composition_physics,0,0.31017704895851017,0.5313698686026442
20260919,2,global_composition_physics,1,0.27833715454163255,0.4526678749003781
20260919,2,global_composition_physics,2,0.3273810571331283,0.5797054322335926
20260919,2,global_composition_physics,3,0.3097347973157297,0.521853196913046
20260919,2,global_composition_physics,4,0.2731976096164171,0.5337723830559042
20260919,2,n_terminal,0,0.15049752056862914,0.18635517426166226
20260919,2,n_terminal,1,0.13676844114608877,0.18167583457114667
20260919,2,n_terminal,2,0.17888496651132652,0.22120697301185843
20260919,2,n_terminal,3,0.15643717512250654,0.19559795904740018
20260919,2,n_terminal,4,0.12973343265030385,0.18271203316531381
20260919,2,c_terminal,0,0.00815597075217711,0.01481578406249473
20260919,2,c_terminal,1,-0.006582594385974971,0.015022243750877795
20260919,2,c_terminal,2,-0.0008160331708486623,0.017087125308367535
20260919,2,c_terminal,3,-0.01005774952659233,0.011514231787322027
20260919,2,c_terminal,4,0.004958259296379497,0.018016399371716396
20260919,2,dipeptides,0,0.0,0.0
20260919,2,dipeptides,1,0.0,0.0
20260919,2,dipeptides,2,0.0,0.0
20260919,2,dipeptides,3,0.0,0.0
20260919,2,dipeptides,4,0.0,0.0
